Company,Symbol,Weight,      Price,Chg,% Chg
Autodesk Inc.,ADSK,0.135085,   162.00,0.25,-0.15%
Ford Motor Company,F,0.133951,   8.97,0.02,-0.22%
O'Reilly Automotive Inc.,ORLY,0.131971,   444.52,-0.71,(-0.16%)
Welltower Inc.,WELL,0.131635,   83.99,0,0.00%
Occidental Petroleum Corporation,OXY,0.131062,   38.90,-0.05,(-0.13%)
Johnson Controls International plc,JCI,0.130903,   42.39,0,0.00%
Delta Air Lines Inc.,DAL,0.127361,   56.75,-0.1,(-0.18%)
Xcel Energy Inc.,XEL,0.125093,   60.87,0,0.00%
Public Storage,PSA,0.123608,   213.21,0,0.00%
General Mills Inc.,GIS,0.122311,   52.56,0,0.00%
TE Connectivity Ltd.,TEL,0.121692,   93.10,0,0.00%
SunTrust Banks Inc.,STI,0.1209,   70.58,0,0.00%
Ingersoll-Rand Plc,IR,0.119788,   128.70,0,0.00%
Newmont Goldcorp Corporation,NEM,0.11928,   37.61,0,0.00%
PPG Industries Inc.,PPG,0.119119,   129.50,0,0.00%
Constellation Brands Inc. Class A,STZ,0.118893,   179.25,-0.4,(-0.22%)
Public Service Enterprise Group Inc,PEG,0.118497,   60.89,0,0.00%
Amphenol Corporation Class A,APH,0.11745,   102.25,0,0.00%
Equity Residential,EQR,0.116374,   86.46,0,0.00%
Yum! Brands Inc.,YUM,0.116292,   98.28,0,0.00%
HP Inc.,HPQ,0.116093,   20.18,0,0.00%
AvalonBay Communities Inc.,AVB,0.115285,   214.53,0,0.00%
Zimmer Biomet Holdings Inc.,ZBH,0.114688,   146.78,0,0.00%
Consolidated Edison Inc.,ED,0.112782,   87.73,0,0.00%
ONEOK Inc.,OKE,0.112254,   71.29,0,0.00%
AutoZone Inc.,AZO,0.112067,"   1,175.00",3.12,-0.27%
Electronic Arts Inc.,EA,0.111844,   97.54,0,0.00%
IHS Markit Ltd.,INFO,0.111686,   71.38,0,0.00%
T. Rowe Price Group,TROW,0.11119,   121.46,0,0.00%
Cummins Inc.,CMI,0.111043,   184.00,0,0.00%
Hilton Worldwide Holdings Inc,HLT,0.11033,   99.69,0,0.00%
KLA Corporation,KLAC,0.109418,   177.71,-0.15,(-0.08%)
Southwest Airlines Co.,LUV,0.108478,   57.79,0,0.00%
V.F. Corporation,VFC,0.108363,   86.88,0,0.00%
TransDigm Group Incorporated,TDG,0.108138,   559.78,0,0.00%
WEC Energy Group Inc,WEC,0.107508,   88.07,0,0.00%
eBay Inc.,EBAY,0.107275,   35.27,0,0.00%
PACCAR Inc,PCAR,0.106443,   80.22,0,0.00%
Regeneron Pharmaceuticals Inc.,REGN,0.105227,   344.87,0,0.00%
Discover Financial Services,DFS,0.105036,   84.52,0,0.00%
State Street Corporation,STT,0.104836,   72.54,0,0.00%
Paychex Inc.,PAYX,0.104576,   84.70,0,0.00%
McKesson Corporation,MCK,0.104088,   148.32,0,0.00%
Motorola Solutions Inc.,MSI,0.103638,   162.08,0,0.00%
Tyson Foods Inc. Class A,TSN,0.103578,   90.33,0,0.00%
IQVIA Holdings Inc,IQV,0.103303,   146.50,0,0.00%
SBA Communications Corp. Class A,SBAC,0.103103,   237.26,0,0.00%
Williams Companies Inc.,WMB,0.102823,   22.36,0,0.00%
Eversource Energy,ES,0.100896,   81.27,0,0.00%
Dollar Tree Inc.,DLTR,0.100133,   108.45,-0.4,(-0.37%)
FirstEnergy Corp.,FE,0.098223,   47.04,0,0.00%
FleetCor Technologies Inc.,FLT,0.0981,   297.34,0,0.00%
Edison International,EIX,0.097105,   70.10,0,0.00%
Parker-Hannifin Corporation,PH,0.096886,   196.65,0,0.00%
LyondellBasell Industries NV,LYB,0.096323,   96.00,0,0.00%
Willis Towers Watson Public Limited Company,WLTW,0.094764,   188.94,-0.01,(-0.01%)
Realty Income Corporation,O,0.094564,   77.46,0,0.00%
PPL Corporation,PPL,0.094361,   33.91,0,0.00%
Digital Realty Trust Inc.,DLR,0.09416,   119.12,0.25,-0.21%
T-Mobile US Inc.,TMUS,0.09415,   77.61,-0.46,(-0.59%)
Archer-Daniels-Midland Company,ADM,0.09282,   42.57,-0.3,(-0.70%)
Agilent Technologies Inc.,A,0.092444,   78.26,0,0.00%
Alexion Pharmaceuticals Inc.,ALXN,0.092038,   108.77,0.4,-0.37%
Aptiv PLC,APTV,0.091952,   92.31,0,0.00%
Xilinx Inc.,XLNX,0.09169,   93.97,0.31,-0.33%
Stanley Black & Decker Inc.,SWK,0.091689,   157.63,0,0.00%
Rockwell Automation Inc.,ROK,0.090493,   198.24,-2.03,(-1.01%)
Entergy Corporation,ETR,0.09045,   116.71,0,0.00%
